embedding,reduction,algo,k,params,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise,noise_rate,silhouette_core,davies_bouldin_core,calinski_harabasz_core,n_labeled,score_for_rank
all-MiniLM-L6-v2,pca,KMeans,14.0,{'n_clusters': 14},0.059727296233177185,3.1326323276780146,648.4378051757812,14.0,0.0,0.0,,,,,0.059727296233177185
all-MiniLM-L6-v2,pca,Agglomerative,14.0,{'n_clusters': 14},0.03385081887245178,3.369945084299109,545.5994262695312,14.0,0.0,0.0,,,,,0.03385081887245178
all-MiniLM-L6-v2,pca,Spectral,14.0,"{'n_clusters': 14, 'affinity': 'nearest_neighbors'}",0.046995148062705994,1.648466698751773,141.66419982910156,14.0,0.0,0.0,,,,,0.046995148062705994
all-MiniLM-L6-v2,pca,GMM,14.0,{'n_components': 14},0.04078955575823784,3.614847805977481,539.9476928710938,14.0,0.0,0.0,,,,,0.04078955575823784
all-MiniLM-L6-v2,pca,KMeans,16.0,{'n_clusters': 16},0.06899482756853104,2.772543056231208,614.711669921875,16.0,0.0,0.0,,,,,0.06899482756853104
all-MiniLM-L6-v2,pca,Agglomerative,16.0,{'n_clusters': 16},0.03821596875786781,3.1597316421747417,508.5681457519531,16.0,0.0,0.0,,,,,0.03821596875786781
all-MiniLM-L6-v2,pca,Spectral,16.0,"{'n_clusters': 16, 'affinity': 'nearest_neighbors'}",0.025590866804122925,1.5851099928650023,127.11376190185547,16.0,0.0,0.0,,,,,0.025590866804122925
all-MiniLM-L6-v2,pca,GMM,16.0,{'n_components': 16},0.05473034083843231,3.2036613659805724,509.9017333984375,16.0,0.0,0.0,,,,,0.05473034083843231
all-MiniLM-L6-v2,pca,KMeans,18.0,{'n_clusters': 18},0.06956088542938232,2.877279726101493,557.9835815429688,18.0,0.0,0.0,,,,,0.06956088542938232
all-MiniLM-L6-v2,pca,Agglomerative,18.0,{'n_clusters': 18},0.04321829229593277,2.997111323954085,477.0771484375,18.0,0.0,0.0,,,,,0.04321829229593277
all-MiniLM-L6-v2,pca,Spectral,18.0,"{'n_clusters': 18, 'affinity': 'nearest_neighbors'}",-0.013240453787147999,1.7300688517272362,132.41041564941406,18.0,0.0,0.0,,,,,-0.013240453787147999
all-MiniLM-L6-v2,pca,GMM,18.0,{'n_components': 18},0.04746231809258461,3.359489229827835,472.2257995605469,18.0,0.0,0.0,,,,,0.04746231809258461
all-MiniLM-L6-v2,pca,KMeans,20.0,{'n_clusters': 20},0.07320716232061386,2.7743945170482274,537.7297973632812,20.0,0.0,0.0,,,,,0.07320716232061386
all-MiniLM-L6-v2,pca,Agglomerative,20.0,{'n_clusters': 20},0.046356141567230225,3.033517239698475,448.74755859375,20.0,0.0,0.0,,,,,0.046356141567230225
all-MiniLM-L6-v2,pca,Spectral,20.0,"{'n_clusters': 20, 'affinity': 'nearest_neighbors'}",-0.016011986881494522,1.6793882129761244,116.4433822631836,20.0,0.0,0.0,,,,,-0.016011986881494522
all-MiniLM-L6-v2,pca,GMM,20.0,{'n_components': 20},0.04775027185678482,3.1682583281045837,458.65545654296875,20.0,0.0,0.0,,,,,0.04775027185678482
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.3, 'min_samples': 5}",-0.11042772233486176,1.055219594687893,32.60612106323242,138.0,17423.0,0.87115,0.5443556904792786,0.6454645705150515,169.74777221679688,2577.0,0.5443556904792786
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.3, 'min_samples': 10}",-0.0706072524189949,1.051559673359482,66.16845703125,51.0,18055.0,0.90275,0.5714750289916992,0.6486717095324107,318.79730224609375,1945.0,0.5714750289916992
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.3, 'min_samples': 20}",0.001989416079595685,1.025970493897165,137.84088134765625,18.0,18568.0,0.9284,0.5171282887458801,0.6651083527438779,644.8488159179688,1432.0,0.5171282887458801
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.5, 'min_samples': 5}",-0.1250927448272705,1.5974694969767242,34.86381149291992,68.0,5509.0,0.27545,-0.10005935281515121,1.3503980914498779,29.907712936401367,14491.0,-0.10005935281515121
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.5, 'min_samples': 10}",-0.04512092471122742,1.7566269763901003,67.48081970214844,34.0,6700.0,0.335,0.002163454657420516,1.3820756860286783,54.73012161254883,13300.0,0.002163454657420516
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.5, 'min_samples': 20}",-0.025880828499794006,1.895847675760606,133.9396209716797,29.0,8069.0,0.40345,0.05910271033644676,1.4986973328975408,125.0850601196289,11931.0,0.05910271033644676
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.8, 'min_samples': 5}",,,,1.0,0.0,0.0,,,,20000.0,
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.8, 'min_samples': 10}",,,,1.0,0.0,0.0,,,,20000.0,
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 0.8, 'min_samples': 20}",,,,1.0,0.0,0.0,,,,20000.0,
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 1.0, 'min_samples': 5}",,,,1.0,0.0,0.0,,,,20000.0,
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 1.0, 'min_samples': 10}",,,,1.0,0.0,0.0,,,,20000.0,
all-MiniLM-L6-v2,pca,DBSCAN,,"{'eps': 1.0, 'min_samples': 20}",,,,1.0,0.0,0.0,,,,20000.0,
all-MiniLM-L6-v2,pca,HDBSCAN,,{'min_cluster_size': 5},-0.14442981779575348,1.2853864408915758,21.345272064208984,281.0,15709.0,0.78545,0.38065290451049805,1.0531838114134262,82.63617706298828,4291.0,0.38065290451049805
all-MiniLM-L6-v2,pca,HDBSCAN,,{'min_cluster_size': 10},-0.08001940697431564,1.3504622550580494,56.46016311645508,83.0,15823.0,0.79115,0.36818796396255493,1.0589244748184763,145.36546325683594,4177.0,0.36818796396255493
all-MiniLM-L6-v2,pca,HDBSCAN,,{'min_cluster_size': 20},-0.040900252759456635,1.4930802140822557,126.21617126464844,33.0,15289.0,0.76445,0.3413452208042145,1.1431637077325054,264.489990234375,4711.0,0.3413452208042145
all-MiniLM-L6-v2,pca,HDBSCAN,,{'min_cluster_size': 30},-0.028848931193351746,1.6145443194933458,211.6915283203125,18.0,15425.0,0.77125,0.37283602356910706,1.1141788644042285,438.0448303222656,4575.0,0.37283602356910706
all-MiniLM-L6-v2,pca,HDBSCAN,,{'min_cluster_size': 50},-0.013362177647650242,1.460991394547265,321.8400573730469,11.0,15642.0,0.7821,0.39430665969848633,0.8115746659927399,693.5640869140625,4358.0,0.39430665969848633
all-MiniLM-L6-v2,umap,KMeans,4.0,{'n_clusters': 4},0.2569040060043335,1.7009745452464229,6365.8330078125,4.0,0.0,0.0,,,,,0.2569040060043335
all-MiniLM-L6-v2,umap,Agglomerative,4.0,{'n_clusters': 4},0.4096252918243408,1.3527240870694184,6954.4609375,4.0,0.0,0.0,,,,,0.4096252918243408
all-MiniLM-L6-v2,umap,Spectral,4.0,"{'n_clusters': 4, 'affinity': 'nearest_neighbors'}",0.09482493996620178,2.1902572613873046,275.0318908691406,4.0,0.0,0.0,,,,,0.09482493996620178
all-MiniLM-L6-v2,umap,GMM,4.0,{'n_components': 4},0.28091877698898315,1.9093449693760627,5611.193359375,4.0,0.0,0.0,,,,,0.28091877698898315
all-MiniLM-L6-v2,umap,KMeans,6.0,{'n_clusters': 6},0.25835034251213074,1.3422085434806537,5717.51025390625,6.0,0.0,0.0,,,,,0.25835034251213074
all-MiniLM-L6-v2,umap,Agglomerative,6.0,{'n_clusters': 6},0.3995630741119385,0.9571674612923777,6580.28564453125,6.0,0.0,0.0,,,,,0.3995630741119385
all-MiniLM-L6-v2,umap,Spectral,6.0,"{'n_clusters': 6, 'affinity': 'nearest_neighbors'}",-0.2376728504896164,2.280007393329232,95.68665313720703,6.0,0.0,0.0,,,,,-0.2376728504896164
all-MiniLM-L6-v2,umap,GMM,6.0,{'n_components': 6},0.32121583819389343,1.9853146988857684,3366.75830078125,6.0,0.0,0.0,,,,,0.32121583819389343
all-MiniLM-L6-v2,umap,KMeans,8.0,{'n_clusters': 8},0.2719621956348419,0.9532314536720063,5828.044921875,8.0,0.0,0.0,,,,,0.2719621956348419
all-MiniLM-L6-v2,umap,Agglomerative,8.0,{'n_clusters': 8},0.4145432710647583,0.6579325782185816,6614.02197265625,8.0,0.0,0.0,,,,,0.4145432710647583
all-MiniLM-L6-v2,umap,Spectral,8.0,"{'n_clusters': 8, 'affinity': 'nearest_neighbors'}",-0.2611970901489258,2.1944658229655882,88.44122314453125,8.0,0.0,0.0,,,,,-0.2611970901489258
all-MiniLM-L6-v2,umap,GMM,8.0,{'n_components': 8},0.2583458423614502,1.9069714213648838,4797.17333984375,8.0,0.0,0.0,,,,,0.2583458423614502
all-MiniLM-L6-v2,umap,KMeans,10.0,{'n_clusters': 10},0.298142671585083,0.8426904960158892,6089.0537109375,10.0,0.0,0.0,,,,,0.298142671585083
all-MiniLM-L6-v2,umap,Agglomerative,10.0,{'n_clusters': 10},0.4084767997264862,0.8507197195541899,6222.4462890625,10.0,0.0,0.0,,,,,0.4084767997264862
all-MiniLM-L6-v2,umap,Spectral,10.0,"{'n_clusters': 10, 'affinity': 'nearest_neighbors'}",-0.2883152961730957,1.7114800018766796,146.24078369140625,10.0,0.0,0.0,,,,,-0.2883152961730957
all-MiniLM-L6-v2,umap,GMM,10.0,{'n_components': 10},0.2645200788974762,1.41632900396094,4986.9384765625,10.0,0.0,0.0,,,,,0.2645200788974762
all-MiniLM-L6-v2,umap,KMeans,12.0,{'n_clusters': 12},0.2933220863342285,1.0808143592896193,6067.7978515625,12.0,0.0,0.0,,,,,0.2933220863342285
all-MiniLM-L6-v2,umap,Agglomerative,12.0,{'n_clusters': 12},0.4179094135761261,1.3671178185202546,5842.84912109375,12.0,0.0,0.0,,,,,0.4179094135761261
all-MiniLM-L6-v2,umap,Spectral,12.0,"{'n_clusters': 12, 'affinity': 'nearest_neighbors'}",-0.1069566160440445,2.0103898274661636,704.569580078125,12.0,0.0,0.0,,,,,-0.1069566160440445
all-MiniLM-L6-v2,umap,GMM,12.0,{'n_components': 12},0.23734186589717865,1.1550983306338098,5232.65478515625,12.0,0.0,0.0,,,,,0.23734186589717865
all-MiniLM-L6-v2,umap,KMeans,14.0,{'n_clusters': 14},0.30435052514076233,0.9496705727409503,5903.30126953125,14.0,0.0,0.0,,,,,0.30435052514076233
all-MiniLM-L6-v2,umap,Agglomerative,14.0,{'n_clusters': 14},0.3005945086479187,1.2579502590579608,5686.76611328125,14.0,0.0,0.0,,,,,0.3005945086479187
all-MiniLM-L6-v2,umap,Spectral,14.0,"{'n_clusters': 14, 'affinity': 'nearest_neighbors'}",-0.1117781475186348,2.360408292551926,657.15087890625,14.0,0.0,0.0,,,,,-0.1117781475186348
all-MiniLM-L6-v2,umap,GMM,14.0,{'n_components': 14},0.2784786522388458,0.9738891457124683,5696.833984375,14.0,0.0,0.0,,,,,0.2784786522388458
all-MiniLM-L6-v2,umap,KMeans,16.0,{'n_clusters': 16},0.3079836368560791,1.060493528806353,5579.98388671875,16.0,0.0,0.0,,,,,0.3079836368560791
all-MiniLM-L6-v2,umap,Agglomerative,16.0,{'n_clusters': 16},0.2968859374523163,1.2073882360058201,5600.42041015625,16.0,0.0,0.0,,,,,0.2968859374523163
all-MiniLM-L6-v2,umap,Spectral,16.0,"{'n_clusters': 16, 'affinity': 'nearest_neighbors'}",-0.09431762993335724,1.7865879962626101,483.1936950683594,16.0,0.0,0.0,,,,,-0.09431762993335724
